id,precision,recall,f1
0,0.7,1,0.823529
1,0.608696,0.736842,0.666667
2,0.352941,0.947368,0.514286
3,1,1,1
4,1,1,1
5,0.347826,1,0.516129
6,0.175,1,0.297872
7,0.0508475,1,0.0967742
8,0.411765,0.954545,0.575342
9,1,0.125,0.222222
10,0.0242915,1,0.0474308
11,0.25,1,0.4
12,1,1,1
13,0.419355,1,0.590909
14,0.225806,1,0.368421
15,0.428571,1,0.6
16,0.020979,1,0.0410959
17,0.0165289,1,0.0325203
18,0.666667,1,0.8
19,0.145833,1,0.254545
20,0.571429,1,0.727273
21,0.0714286,1,0.133333
22,0.380952,0.842105,0.52459
23,0.140625,1,0.246575
24,0.380952,1,0.551724
25,0.619048,1,0.764706
26,0.777778,0.636364,0.7
27,1,1,1
28,0.857143,0.8,0.827586
29,0.571429,0.275862,0.372093
30,0.378378,0.823529,0.518519
31,0.166667,0.166667,0.166667
32,1,1,1
33,0.181818,1,0.307692
34,0.118644,0.411765,0.184211
35,0.170213,1,0.290909
36,0.5,1,0.666667
37,0.315789,0.4,0.352941
38,0.411765,1,0.583333
39,1,0.0909091,0.166667
40,1,0.111111,0.2
41,0.590909,0.448276,0.509804
42,0.0214724,1,0.042042
43,0.142857,0.166667,0.153846
44,0.5,1,0.666667
45,0.0183246,1,0.0359897
46,0.255319,1,0.40678
47,0.421053,1,0.592593
48,0.394737,1,0.566038
49,0.666667,0.909091,0.769231
50,0.428571,1,0.6
51,0.0921053,1,0.168675
52,0.0111732,1,0.0220994
53,0.25,1,0.4
54,0.347826,1,0.516129
55,1,1,1
56,0.146341,1,0.255319
57,0.0679612,1,0.127273
58,0.666667,1,0.8
59,0.315789,1,0.48
60,1,0.166667,0.285714
61,0.0656934,1,0.123288
62,0.375,0.166667,0.230769
63,0.888889,1,0.941176
64,0.615385,1,0.761905
65,0.75,1,0.857143
66,0.0271493,1,0.0528634
67,0.189189,1,0.318182
68,0.164179,0.916667,0.278481
69,0.193548,0.461538,0.272727
70,1,1,1
71,1,1,1
72,0.4375,0.777778,0.56
73,1,1,1
74,1,1,1
75,0.0582524,1,0.110092
76,0.615385,0.888889,0.727273
77,1,1,1
78,0.823529,1,0.903226
79,0.126984,1,0.225352
80,0.4375,1,0.608696
81,0.214286,1,0.352941
82,0.101695,1,0.184615
83,0.212121,1,0.35
84,0.882353,1,0.9375
85,0.666667,1,0.8
86,0.145455,0.888889,0.25
87,1,0.125,0.222222
88,1,1,1
89,0.25,1,0.4
90,0.363636,1,0.533333
91,0.0483871,1,0.0923077
92,0.7,1,0.823529
93,0.705882,0.75,0.727273
94,0.230769,0.9,0.367347
95,0.179487,1,0.304348
96,0.25,0.1,0.142857
97,1,1,1
98,0.666667,1,0.8
99,0.266667,0.352941,0.303797
100,0.818182,1,0.9
101,1,0.1,0.181818
102,0.375,1,0.545455
103,0.714286,0.961538,0.819672
104,0.75,1,0.857143
105,0.636364,1,0.777778
106,0.636364,0.7,0.666667
107,1,1,1
108,0.7,0.823529,0.756757
109,0.00189753,1,0.00378788
110,1,1,1
111,0.352941,1,0.521739
112,0.268293,1,0.423077
113,0.785714,1,0.88
114,0.666667,1,0.8
115,0.0251046,1,0.0489796
116,0.666667,1,0.8
117,1,0.857143,0.923077
118,0.142857,0.166667,0.153846
119,0.2,0.4375,0.27451
120,0.461538,1,0.631579
121,0.375,1,0.545455
122,0.666667,1,0.8
123,0.6,1,0.75
124,0.666667,1,0.8
125,0.333333,1,0.5
126,1,1,1
127,0.12,1,0.214286
128,0.184211,1,0.311111
129,0.375,1,0.545455
130,0.4,0.454545,0.425532
131,0.444444,0.470588,0.457143
132,0.551724,1,0.711111
133,0.103448,1,0.1875
134,0.777778,0.411765,0.538462
135,0.115385,1,0.206897
136,1,1,1
137,0.8,1,0.888889
138,0.583333,1,0.736842
139,0.777778,0.875,0.823529
140,0.333333,0.166667,0.222222
141,0.062069,1,0.116883
142,0.153846,1,0.266667
143,1,0.777778,0.875
144,0.846154,0.733333,0.785714
145,0.315789,1,0.48
146,0.5,1,0.666667
147,0.473684,1,0.642857
148,0.545455,1,0.705882
149,0.234043,0.6875,0.349206
150,0.28,1,0.4375
151,0.75,1,0.857143
152,0.571429,1,0.727273
153,0.521739,0.705882,0.6
154,0.134615,1,0.237288
155,0.318182,0.777778,0.451613
156,0.857143,1,0.923077
157,0.375,1,0.545455
158,0.222222,1,0.363636
159,0.378378,0.736842,0.5
160,0.692308,1,0.818182
161,0.0263158,1,0.0512821
162,1,1,1
163,1,0.125,0.222222
164,0.875,0.7,0.777778
165,0.25,1,0.4
166,0.666667,1,0.8
167,0.909091,1,0.952381
168,0.382353,1,0.553191
169,1,1,1
170,0.75,1,0.857143
171,0.538462,1,0.7
172,0.461538,1,0.631579
173,1,1,1
174,0.0188235,1,0.0369515
175,0.428571,1,0.6
176,0.652174,0.882353,0.75
177,0.241379,1,0.388889
178,0.47619,1,0.645161
179,0.142857,1,0.25
180,0.333333,1,0.5
181,0.375,1,0.545455
182,0.470588,1,0.64
183,1,0.1,0.181818
184,0.428571,1,0.6
185,0.481481,1,0.65
186,0.0391061,1,0.0752688
187,0.142857,0.0909091,0.111111
188,0.4,1,0.571429
189,0.6,1,0.75
190,0.8,1,0.888889
191,1,1,1
192,0.5,0.7,0.583333
193,0.4,1,0.571429
194,0.466667,1,0.636364
195,0.257143,1,0.409091
196,0.6,1,0.75
197,0.4375,1,0.608696
198,1,1,1
199,0.46875,1,0.638298
200,0.126437,1,0.22449
201,1,1,1
202,0.571429,1,0.727273
203,0.5,1,0.666667
204,0.1625,0.866667,0.273684
205,0.0769231,0.444444,0.131148
206,0.7,1,0.823529
207,0.5,0.857143,0.631579
208,0.615385,1,0.761905
209,0.233333,1,0.378378
210,0.131148,1,0.231884
211,0.545455,0.75,0.631579
212,0.75,1,0.857143
213,0.333333,0.166667,0.222222
214,0.666667,1,0.8
215,1,0.1,0.181818
216,0.322581,0.666667,0.434783
217,1,1,1
218,0.0254237,1,0.0495868
219,0.035533,1,0.0686275
220,0.857143,1,0.923077
221,0.615385,1,0.761905
222,0.409091,1,0.580645
223,0.333333,1,0.5
224,0.2,1,0.333333
225,0.571429,0.444444,0.5
226,0.5,0.571429,0.533333
227,0.526316,1,0.689655
228,0.0970149,1,0.176871
229,0.5,1,0.666667
230,0.00214516,1,0.00428113
231,1,0.111111,0.2
232,0.9,0.9,0.9
233,1,0.888889,0.941176
234,0.466667,0.777778,0.583333
235,0.151515,0.909091,0.25974
236,0.25,1,0.4
237,0.5,1,0.666667
238,1,0.125,0.222222
239,0.411765,1,0.583333
240,0.25,1,0.4
241,0.352941,1,0.521739
242,0.551724,1,0.711111
243,0.4,1,0.571429
244,0.5,0.75,0.6
245,0.194444,1,0.325581
246,0.533333,1,0.695652
247,0.2,1,0.333333
248,0.846154,1,0.916667
249,0.615385,1,0.761905
