id,precision,recall,f1
0,0.7,1,0.823529
1,1,0.473684,0.642857
2,0.516129,0.842105,0.64
3,1,1,1
4,1,1,1
5,0.0930233,1,0.170213
6,0.259259,1,0.411765
7,1,1,1
8,0.278481,1,0.435644
9,1,1,1
10,0.75,1,0.857143
11,0.470588,1,0.64
12,1,1,1
13,0.866667,1,0.928571
14,0.388889,1,0.56
15,0.153846,1,0.266667
16,1,1,1
17,0.206897,1,0.342857
18,0.24,1,0.387097
19,0.116667,1,0.208955
20,0.285714,1,0.444444
21,0.857143,1,0.923077
22,0.484848,0.842105,0.615385
23,0.108434,1,0.195652
24,0.727273,1,0.842105
25,1,1,1
26,1,0.636364,0.777778
27,1,1,1
28,0.0595238,1,0.11236
29,0.7,0.724138,0.711864
30,0.269231,0.823529,0.405797
31,0.0233463,1,0.0456274
32,1,1,1
33,0.75,1,0.857143
34,0.5,0.588235,0.540541
35,0.186047,1,0.313725
36,0.184211,1,0.311111
37,1,0.4,0.571429
38,0.304348,1,0.466667
39,1,0.636364,0.777778
40,0.0681818,1,0.12766
41,0.34375,0.758621,0.473118
42,1,0.714286,0.833333
43,1,0.833333,0.909091
44,1,1,1
45,1,1,1
46,0.785714,0.916667,0.846154
47,0.135593,1,0.238806
48,0.46875,1,0.638298
49,0.666667,0.909091,0.769231
50,0.285714,1,0.444444
51,1,1,1
52,1,1,1
53,1,1,1
54,0.307692,1,0.470588
55,0.0304569,1,0.0591133
56,1,1,1
57,0.162791,1,0.28
58,0.666667,1,0.8
59,1,1,1
60,0.75,1,0.857143
61,0.128571,1,0.227848
62,0.625,0.555556,0.588235
63,0.0629921,1,0.118519
64,1,1,1
65,1,1,1
66,0.5,1,0.666667
67,0.233333,1,0.378378
68,1,0.5,0.666667
69,0.170213,0.615385,0.266667
70,1,1,1
71,1,1,1
72,1,0.777778,0.875
73,1,1,1
74,1,1,1
75,0.0618557,1,0.116505
76,0.727273,0.888889,0.8
77,1,1,1
78,1,1,1
79,0.5,0.875,0.636364
80,0.225806,1,0.368421
81,1,1,1
82,1,1,1
83,1,1,1
84,1,1,1
85,0.857143,1,0.923077
86,0.571429,0.444444,0.5
87,0.333333,1,0.5
88,1,0.875,0.933333
89,1,1,1
90,0.666667,1,0.8
91,1,1,1
92,0.2,1,0.333333
93,0.916667,0.6875,0.785714
94,1,0.4,0.571429
95,1,1,1
96,0.210526,0.4,0.275862
97,1,1,1
98,0.857143,1,0.923077
99,0.8,0.235294,0.363636
100,0.875,0.777778,0.823529
101,1,0.9,0.947368
102,1,1,1
103,0.862069,0.961538,0.909091
104,1,1,1
105,0.875,1,0.933333
106,0.0378378,0.7,0.0717949
107,1,1,1
108,0.916667,0.647059,0.758621
109,1,1,1
110,1,1,1
111,1,1,1
112,0.157143,1,0.271605
113,1,1,1
114,1,1,1
115,1,1,1
116,0.28,0.875,0.424242
117,1,0.857143,0.923077
118,0.857143,1,0.923077
119,1,0.25,0.4
120,0.75,1,0.857143
121,1,1,1
122,1,1,1
123,1,1,1
124,0.666667,1,0.8
125,0.333333,1,0.5
126,1,1,1
127,0.666667,1,0.8
128,0.5,1,0.666667
129,0.409091,1,0.580645
130,1,0.454545,0.625
131,0.5,0.294118,0.37037
132,0.135593,1,0.238806
133,1,1,1
134,1,0.176471,0.3
135,0.857143,1,0.923077
136,1,1,1
137,0.8,1,0.888889
138,1,1,1
139,1,0.875,0.933333
140,1,1,1
141,0.692308,1,0.818182
142,0.545455,1,0.705882
143,1,0.777778,0.875
144,0.575,0.766667,0.657143
145,0.416667,0.833333,0.555556
146,0.857143,1,0.923077
147,1,1,1
148,1,0.5,0.666667
149,1,0.25,0.4
150,0.666667,0.857143,0.75
151,1,1,1
152,0.129032,1,0.228571
153,0.55,0.647059,0.594595
154,1,1,1
155,0.222222,0.888889,0.355556
156,0.75,1,0.857143
157,0.461538,1,0.631579
158,0.122449,1,0.218182
159,0.916667,0.578947,0.709677
160,0.529412,1,0.692308
161,0.8,1,0.888889
162,1,1,1
163,0.2,1,0.333333
164,0.2,0.3,0.24
165,0.352941,1,0.521739
166,0.666667,1,0.8
167,0.263158,1,0.416667
168,0.393939,1,0.565217
169,1,1,1
170,1,1,1
171,0.7,1,0.823529
172,0.6,1,0.75
173,1,1,1
174,1,1,1
175,1,1,1
176,1,0.705882,0.827586
177,0.194444,1,0.325581
178,0.277778,1,0.434783
179,1,0.444444,0.615385
180,0.666667,1,0.8
181,1,1,1
182,1,1,1
183,1,0.1,0.181818
184,1,0.5,0.666667
185,0.361111,1,0.530612
186,0.538462,1,0.7
187,1,0.636364,0.777778
188,0.470588,1,0.64
189,0.3,1,0.461538
190,1,1,1
191,1,1,1
192,0.875,0.7,0.777778
193,0.75,1,0.857143
194,1,1,1
195,1,1,1
196,1,1,1
197,0.7,1,0.823529
198,1,1,1
199,0.416667,1,0.588235
200,0.203704,1,0.338462
201,1,1,1
202,0.727273,1,0.842105
203,0.666667,1,0.8
204,0.875,0.466667,0.608696
205,0.040724,1,0.0782609
206,1,1,1
207,0.24,0.857143,0.375
208,1,1,1
209,0.777778,1,0.875
210,0.636364,0.875,0.736842
211,1,0.75,0.857143
212,1,0.833333,0.909091
213,1,0.833333,0.909091
214,0.75,0.9375,0.833333
215,0.666667,1,0.8
216,0.319149,1,0.483871
217,0.818182,1,0.9
218,0.666667,1,0.8
219,1,1,1
220,0.857143,1,0.923077
221,0.7,0.875,0.777778
222,0.3,1,0.461538
223,0.35,0.875,0.5
224,0.636364,1,0.777778
225,1,0.666667,0.8
226,0.136842,0.928571,0.238532
227,0.0961538,1,0.175439
228,0.565217,1,0.722222
229,0.230769,1,0.375
230,0.75,1,0.857143
231,0.818182,1,0.9
232,0.875,0.7,0.777778
233,1,0.888889,0.941176
234,0.368421,0.777778,0.5
235,0.407407,1,0.578947
236,1,0.857143,0.923077
237,0.409091,1,0.580645
238,0.285714,1,0.444444
239,0.35,1,0.518519
240,0.409091,0.642857,0.5
241,0.5,1,0.666667
242,0.592593,1,0.744186
243,1,1,1
244,0.75,0.75,0.75
245,0.21875,1,0.358974
246,0.666667,1,0.8
247,0.857143,1,0.923077
248,1,1,1
249,1,0.875,0.933333
250,1,0.333333,0.5
251,0.875,1,0.933333
252,0.259259,1,0.411765
253,0.705882,1,0.827586
254,0.380952,0.888889,0.533333
255,0.258065,1,0.410256
256,0.714286,0.769231,0.740741
257,1,0.333333,0.5
258,1,0.714286,0.833333
259,1,1,1
260,1,1,1
261,0.875,1,0.933333
262,1,1,1
263,0.9,1,0.947368
264,1,1,1
265,0.857143,0.857143,0.857143
266,1,1,1
267,1,1,1
268,1,1,1
269,0.461538,1,0.631579
270,0.15942,1,0.275
271,0.714286,0.416667,0.526316
272,1,0.6,0.75
273,0.148148,1,0.258065
274,0.846154,1,0.916667
275,0.0518672,1,0.0986193
276,0.230769,0.666667,0.342857
277,0.2,1,0.333333
278,0.0819672,1,0.151515
279,0.545455,1,0.705882
280,0.625,0.625,0.625
281,1,1,1
282,0.681818,0.625,0.652174
283,0.347826,1,0.516129
284,1,0.875,0.933333
285,0.545455,1,0.705882
286,0.6,1,0.75
287,1,0.818182,0.9
288,1,0.833333,0.909091
289,0.6,1,0.75
290,0.407407,1,0.578947
291,0.315789,0.923077,0.470588
292,1,1,1
293,0.407407,1,0.578947
294,1,0.833333,0.909091
295,1,1,1
296,1,0.25,0.4
297,0.47619,1,0.645161
298,0.888889,0.888889,0.888889
299,0.347826,1,0.516129
300,0.057971,0.5,0.103896
301,1,1,1
302,0.216216,0.8,0.340426
303,0.888889,1,0.941176
304,1,0.833333,0.909091
305,1,0.555556,0.714286
306,0.290323,1,0.45
307,1,1,1
308,0.206897,1,0.342857
309,0.0422535,0.5,0.0779221
310,1,1,1
311,0.451613,0.608696,0.518519
312,1,0.916667,0.956522
313,0.185185,1,0.3125
314,0.888889,1,0.941176
315,0.21875,1,0.358974
316,0.8,1,0.888889
317,1,0.666667,0.8
318,0.0169972,1,0.0334262
319,0.642857,1,0.782609
320,1,1,1
321,0.322581,1,0.487805
322,0.875,1,0.933333
323,0.6,1,0.75
324,1,1,1
325,1,0.833333,0.909091
326,0.642857,0.9,0.75
327,1,0.4,0.571429
328,1,1,1
329,0.368421,1,0.538462
330,0.35,0.7,0.466667
331,0.386364,0.607143,0.472222
332,0.545455,1,0.705882
333,0.857143,1,0.923077
334,1,1,1
335,1,1,1
