id,precision,recall,f1
0,0.00026062,1,0.000521105
1,0.428571,1,0.6
2,1,1,1
3,0.6,1,0.75
4,0.0028436,1,0.00567108
5,1,1,1
6,0.000359842,1,0.000719424
7,0.75,1,0.857143
8,0.0010327,1,0.00206327
9,0.0153846,1,0.030303
10,0.00101249,1,0.00202293
11,0.00958466,1,0.0189873
12,0.00958466,1,0.0189873
13,0.00618557,1,0.0122951
14,0.142857,1,0.25
15,0.000348392,1,0.000696541
16,0.000266217,1,0.000532292
17,0.0267857,1,0.0521739
18,0.00404313,1,0.00805369
19,0.75,1,0.857143
20,0.0142857,1,0.028169
21,0.000980392,1,0.00195886
22,0.428571,1,0.6
23,0.000513963,1,0.0010274
24,0.000347142,1,0.000694043
25,0.00158646,1,0.0031679
26,0.75,1,0.857143
27,0.6,1,0.75
28,0.0147783,1,0.0291262
29,0.0326087,1,0.0631579
30,0.011194,1,0.0221402
31,1,1,1
32,0.75,1,0.857143
33,0.00722892,1,0.0143541
34,1,1,1
35,1,1,1
36,0.06,1,0.113208
37,1,1,1
38,0.75,1,0.857143
39,0.0263158,1,0.0512821
40,0.010101,1,0.02
41,0.00494234,1,0.00983607
42,0.333333,1,0.5
43,0.0025,1,0.00498753
44,0.75,1,0.857143
45,0.75,1,0.857143
46,0.1875,1,0.315789
47,0.75,1,0.857143
48,0.00049636,1,0.000992228
49,0.75,1,0.857143
50,0.000607042,1,0.00121335
51,0.0697674,1,0.130435
52,0.6,1,0.75
53,0.000595356,1,0.00119
54,0.0029615,1,0.00590551
55,0.6,1,0.75
56,0.75,1,0.857143
57,0.00130548,1,0.00260756
58,0.04,1,0.0769231
59,0.000349447,1,0.000698649
60,0.75,1,0.857143
61,0.6,1,0.75
62,0.375,1,0.545455
63,0.0180723,1,0.035503
64,0.000780843,1,0.00156047
65,0.000291772,1,0.000583374
66,0.0697674,1,0.130435
67,0.000385802,1,0.000771307
68,0.00362757,1,0.00722892
69,0.0410959,1,0.0789474
70,0.0056391,1,0.011215
71,1,1,1
72,0.0322581,1,0.0625
73,1,1,1
74,0.0166667,1,0.0327869
75,0.00603622,1,0.012
76,0.5,1,0.666667
77,0.00126529,1,0.00252738
78,0.0769231,1,0.142857
79,0.75,1,0.857143
80,0.6,1,0.75
81,0.00238474,1,0.00475813
82,0.6,1,0.75
83,0.75,1,0.857143
84,0.000898742,1,0.00179587
85,0.75,1,0.857143
86,1,1,1
87,0.0174419,1,0.0342857
88,0.214286,1,0.352941
89,0.000459911,1,0.000919399
90,0.0441176,1,0.084507
91,0.5,1,0.666667
92,1,1,1
93,0.000677048,1,0.00135318
94,0.00127932,1,0.00255537
95,0.75,1,0.857143
96,0.011583,1,0.0229008
97,0.000549954,1,0.0010993
98,0.00088054,1,0.00175953
99,0.0588235,1,0.111111
100,0.157895,1,0.272727
101,0.75,1,0.857143
102,0.00157068,1,0.00313643
103,1,1,1
104,0.00107953,1,0.00215672
105,0.00728155,1,0.0144578
106,0.75,1,0.857143
107,0.0447761,1,0.0857143
108,0.0243902,1,0.047619
109,0.75,1,0.857143
110,1,1,1
111,0.000436554,1,0.000872727
112,0.00105895,1,0.00211566
113,0.0545455,1,0.103448
114,0.75,1,0.857143
115,0.230769,1,0.375
116,0.428571,1,0.6
117,0.00584795,1,0.0116279
118,0.0101695,1,0.0201342
119,0.00405405,1,0.00807537
120,0.00943396,1,0.0186916
121,0.00221729,1,0.00442478
122,1,1,1
123,0.00178784,1,0.0035693
124,0.0526316,1,0.1
125,0.75,1,0.857143
126,1,1,1
127,0.000474608,1,0.000948767
128,0.00603622,1,0.012
129,0.000301568,1,0.000602954
130,0.000365586,1,0.000730905
131,0.6,1,0.75
132,0.00653595,1,0.012987
133,1,1,1
134,1,1,1
135,1,1,1
136,0.6,1,0.75
137,0.75,1,0.857143
138,1,1,1
139,0.000426257,1,0.000852152
140,0.130435,1,0.230769
141,0.00149701,1,0.00298954
142,0.571429,1,0.727273
143,0.00477327,1,0.00950119
144,1,1,1
145,0.000460264,1,0.000920104
146,0.000773246,1,0.0015453
147,0.00167997,1,0.0033543
148,1,1,1
149,0.8,1,0.888889
150,0.8,1,0.888889
151,1,1,1
152,0.027972,1,0.0544218
153,1,1,1
154,1,1,1
155,0.4,1,0.571429
156,0.8,1,0.888889
157,0.000448079,1,0.000895756
158,0.00185787,1,0.00370885
159,0.571429,1,0.727273
160,0.00213675,1,0.00426439
161,0.444444,1,0.615385
162,0.0015213,1,0.00303797
163,0.000297442,1,0.000594707
164,0.571429,1,0.727273
165,1,1,1
166,0.00442968,1,0.00882029
167,1,1,1
168,0.571429,1,0.727273
169,1,1,1
170,1,1,1
171,0.307692,1,0.470588
172,0.129032,1,0.228571
173,0.00852878,1,0.0169133
174,0.8,1,0.888889
175,0.000516462,1,0.00103239
176,0.0634921,1,0.119403
177,0.8,1,0.888889
178,0.8,1,0.888889
179,0.00171527,1,0.00342466
180,0.00056101,1,0.00112139
181,0.000495663,1,0.000990835
182,1,1,1
183,0.00858369,1,0.0170213
184,0.040404,1,0.0776699
185,0.0540541,1,0.102564
186,1,1,1
187,0.00160966,1,0.00321414
188,0.000575457,1,0.00115025
189,0.8,1,0.888889
190,0.8,1,0.888889
191,0.00368324,1,0.00733945
192,0.000991818,1,0.00198167
193,0.000360263,1,0.000720266
194,0.00218699,1,0.00436443
195,1,1,1
196,0.00462428,1,0.00920598
197,0.121212,1,0.216216
198,0.000454081,1,0.00090775
199,0.000675562,1,0.00135021
200,0.00394089,1,0.00785083
201,0.571429,1,0.727273
202,0.4,1,0.571429
203,1,1,1
204,0.000624805,1,0.00124883
205,0.666667,1,0.8
206,0.00115274,1,0.00230282
207,0.00519481,1,0.0103359
208,0.571429,1,0.727273
209,0.00246609,1,0.00492005
210,0.00235988,1,0.00470865
211,0.00050226,1,0.00100402
212,0.0171674,1,0.0337553
213,0.00130265,1,0.00260191
214,1,1,1
215,0.0184332,1,0.0361991
216,0.4,1,0.571429
217,0.00038134,1,0.000762389
218,0.0142857,1,0.028169
219,0.0506329,1,0.0963855
220,1,1,1
221,0.000369549,1,0.000738825
222,0.000539665,1,0.00107875
223,0.666667,1,0.8
224,0.00247219,1,0.00493218
225,0.5,1,0.666667
226,0.0140845,1,0.0277778
227,0.05,1,0.0952381
228,0.00683761,1,0.0135823
229,0.025,1,0.0487805
230,0.00129926,1,0.00259516
231,1,1,1
232,0.8,1,0.888889
233,1,1,1
234,0.333333,1,0.5
235,0.4,1,0.571429
236,0.000308135,1,0.00061608
237,0.133333,1,0.235294
238,0.666667,1,0.8
239,0.8,1,0.888889
240,0.0232558,1,0.0454545
241,0.00675676,1,0.0134228
242,0.00232558,1,0.00464037
243,0.00203874,1,0.00406918
244,1,1,1
245,0.00117994,1,0.0023571
246,0.75,1,0.857143
247,0.8,1,0.888889
248,1,1,1
249,0.210526,1,0.347826
250,0.444444,1,0.615385
251,1,1,1
252,0.000649773,1,0.0012987
253,0.00167997,1,0.0033543
254,0.8,1,0.888889
255,1,1,1
256,0.00534045,1,0.0106242
257,0.25,1,0.4
258,0.6,1,0.75
259,0.0634921,1,0.119403
260,0.5,1,0.666667
261,0.5,1,0.666667
262,0.6,1,0.75
263,0.363636,1,0.533333
264,0.00058148,1,0.00116228
265,1,1,1
266,0.000490617,1,0.000980753
267,0.0470588,1,0.0898876
268,0.5,1,0.666667
269,0.666667,1,0.8
270,0.0353982,1,0.0683761
271,0.0300752,1,0.0583942
272,0.363636,1,0.533333
273,1,1,1
274,1,1,1
275,0.00436205,1,0.00868621
276,0.00212653,1,0.00424403
277,1,1,1
278,0.8,1,0.888889
279,0.285714,1,0.444444
280,1,1,1
281,0.666667,1,0.8
282,0.6,1,0.75
283,0.0149813,1,0.0295203
284,0.00150773,1,0.00301091
285,1,1,1
286,0.000420477,1,0.000840601
287,0.0487805,1,0.0930233
288,0.571429,1,0.727273
289,0.0111732,1,0.0220994
290,0.001036,1,0.00206986
291,0.173913,1,0.296296
292,0.00679117,1,0.0134907
293,0.00318979,1,0.0063593
294,0.00770713,1,0.0152964
295,0.25,1,0.4
296,0.000893855,1,0.00178611
297,0.00666667,1,0.013245
298,0.000934579,1,0.00186741
299,0.8,1,0.888889
300,0.666667,1,0.8
301,0.000575291,1,0.00114992
302,0.00182899,1,0.0036513
303,0.0222222,1,0.0434783
304,0.142857,1,0.25
305,0.0239521,1,0.0467836
306,0.307692,1,0.470588
307,0.0156863,1,0.030888
308,0.8,1,0.888889
309,0.8,1,0.888889
310,0.363636,1,0.533333
311,1,1,1
312,0.00322373,1,0.00642674
313,0.151515,1,0.263158
314,0.0458716,1,0.0877193
315,0.000907276,1,0.00181291
316,0.666667,1,0.8
317,0.113636,1,0.204082
318,0.00311526,1,0.00621118
319,0.0769231,1,0.142857
320,0.00769231,1,0.0152672
321,0.625,1,0.769231
322,0.034965,1,0.0675676
323,0.00424088,1,0.00844595
324,0.217391,1,0.357143
325,1,1,1
326,0.128205,1,0.227273
327,0.000518045,1,0.00103555
328,0.0597015,1,0.112676
329,0.555556,1,0.714286
330,0.00753296,1,0.0149533
331,0.00292398,1,0.0058309
332,0.0299401,1,0.0581395
333,0.00213038,1,0.0042517
334,0.0373832,1,0.0720721
335,1,1,1
336,0.000919794,1,0.0018379
337,0.444444,1,0.615385
338,0.833333,1,0.909091
339,0.00332226,1,0.00662252
340,0.714286,1,0.833333
341,0.111111,1,0.2
342,0.0233645,1,0.0456621
343,0.0581395,1,0.10989
344,0.00181884,1,0.00363108
345,0.833333,1,0.909091
346,0.000647417,1,0.001294
347,1,1,1
348,0.75,1,0.857143
349,0.625,1,0.769231
350,0.833333,1,0.909091
351,0.00665188,1,0.0132159
352,0.00869565,1,0.0172414
353,0.294118,1,0.454545
354,0.00457038,1,0.00909918
355,0.833333,1,0.909091
356,1,1,1
357,0.00575374,1,0.0114416
358,0.666667,1,0.8
359,0.0409836,1,0.0787402
360,0.227273,1,0.37037
361,0.00231696,1,0.00462321
362,0.833333,1,0.909091
363,1,1,1
364,0.00210615,1,0.00420345
365,0.263158,1,0.416667
366,0.00205761,1,0.00410678
367,1,1,1
368,0.0980392,1,0.178571
369,0.135135,1,0.238095
370,0.000547645,1,0.00109469
371,0.000648845,1,0.00129685
372,0.00156789,1,0.00313087
373,0.833333,1,0.909091
374,0.714286,1,0.833333
375,0.0218341,1,0.042735
376,0.000670803,1,0.00134071
377,0.555556,1,0.714286
378,0.00111532,1,0.00222816
379,0.0142857,1,0.028169
380,0.0190114,1,0.0373134
381,0.00175234,1,0.00349854
382,0.00074184,1,0.00148258
383,0.714286,1,0.833333
384,0.0833333,1,0.153846
385,0.00069483,1,0.0013887
386,0.454545,1,0.625
387,1,1,1
388,0.714286,1,0.833333
389,0.833333,1,0.909091
390,0.0176056,1,0.0346021
391,0.00657895,1,0.0130719
392,0.0909091,1,0.166667
393,0.00541712,1,0.0107759
394,0.625,1,0.769231
395,0.0416667,1,0.08
396,0.714286,1,0.833333
397,0.833333,1,0.909091
398,0.0961538,1,0.175439
399,1,1,1
400,0.00253807,1,0.00506329
401,0.000319455,1,0.000638706
402,0.714286,1,0.833333
403,0.208333,1,0.344828
404,0.208333,1,0.344828
405,0.0146628,1,0.0289017
406,0.00153704,1,0.00306937
407,0.00265393,1,0.00529381
408,0.0471698,1,0.0900901
409,0.0416667,1,0.08
410,0.555556,1,0.714286
411,0.0454545,1,0.0869565
412,0.0340136,1,0.0657895
413,0.5,1,0.666667
414,0.5,1,0.666667
415,0.00261438,1,0.00521512
416,0.714286,1,0.833333
417,1,1,1
418,0.0138889,1,0.0273973
419,0.5,1,0.666667
420,0.555556,1,0.714286
421,0.555556,1,0.714286
422,1,1,1
423,0.0549451,1,0.104167
424,0.00128304,1,0.00256279
425,0.0135593,1,0.0267559
426,0.000844737,1,0.00168805
427,1,1,1
428,0.8,1,0.888889
429,0.0194553,1,0.0381679
430,0.833333,1,0.909091
431,0.416667,1,0.588235
432,0.0172414,1,0.0338983
433,0.0168776,1,0.033195
434,0.625,1,0.769231
435,0.0454545,1,0.0869565
436,0.454545,1,0.625
437,0.0179856,1,0.0353357
438,0.000408386,1,0.000816438
439,0.0186047,1,0.0365297
440,0.0943396,1,0.172414
441,1,1,1
442,0.5,1,0.666667
443,0.026455,1,0.0515464
444,0.0015124,1,0.00302024
445,0.8,1,0.888889
446,0.000689655,1,0.00137836
447,0.357143,1,0.526316
448,0.0588235,1,0.111111
449,1,1,1
450,0.75,1,0.857143
451,0.0068306,1,0.0135685
452,0.714286,1,0.833333
453,0.0174216,1,0.0342466
454,0.833333,1,0.909091
455,1,1,1
456,0.75,1,0.857143
457,1,1,1
458,0.00170999,1,0.00341413
459,0.285714,1,0.444444
460,0.00200401,1,0.004
461,0.0694444,1,0.12987
462,1,1,1
463,0.833333,1,0.909091
464,0.00136537,1,0.00272702
465,1,1,1
466,0.00578035,1,0.0114943
467,0.00246154,1,0.00491099
468,0.00948767,1,0.018797
469,0.172414,1,0.294118
470,0.000528681,1,0.0010568
471,0.000646914,1,0.00129299
472,0.133333,1,0.235294
473,0.000431081,1,0.00086179
474,0.178571,1,0.30303
475,0.8,1,0.888889
476,0.00175131,1,0.0034965
477,0.0390625,1,0.075188
478,0.666667,1,0.8
479,0.135135,1,0.238095
480,0.00287687,1,0.00573723
481,0.384615,1,0.555556
482,0.833333,1,0.909091
483,1,1,1
484,0.00240154,1,0.00479157
485,0.00558659,1,0.0111111
486,0.333333,1,0.5
487,0.5,1,0.666667
488,0.5,1,0.666667
489,1,1,1
490,0.0454545,1,0.0869565
491,1,1,1
492,0.3125,1,0.47619
493,0.625,1,0.769231
494,0.0130208,1,0.0257069
495,0.8,1,0.888889
496,0.4,1,0.571429
497,1,1,1
498,0.5,1,0.666667
499,0.714286,1,0.833333
500,1,1,1
501,0.666667,1,0.8
502,0.0609756,1,0.114943
503,0.666667,1,0.8
